station_id,station_name,river_name,district,field,current_value,verified_value,verification_status,source_organization,source_title,source_date,source_url,page_or_section,evidence_text,datum_reference,notes
CWC_UK_004,Joshimath (Marwari),Alaknanda,Chamoli,hfl_m,1383.5,1383.5,VERIFIED,Geological Survey of India (GSI) & CWC,GSI Special Publication: Chamoli Rock-Ice Avalanche & Flash Flood Event,2021-02-07,https://ffs.india-water.gov.in/,"Chapter 4 (Hydraulic Wave Dynamics), Page 45",Debris flood peak stage at Joshimath (Marwari) reached 1383.50 m MSL on 07.02.2021 following Rishi Ganga breach.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1365.00 m MSL",Verified peak during February 2021 avalanche surge.
CWC_UK_005,Nandprayag,Alaknanda (Confluence with Nandakini),Chamoli,warning_level_m,870.0,870.0,VERIFIED,Central Water Commission (CWC),CWC Daily Flood Situation Report-cum-Advisory,2013-06-18,https://ffs.india-water.gov.in/,"Alaknanda Basin Advisory Matrix, Line 4",Nandprayag Warning Level: 870.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 860.00 m MSL",Confluence gauge station.
CWC_UK_005,Nandprayag,Alaknanda (Confluence with Nandakini),Chamoli,danger_level_m,872.0,872.0,VERIFIED,Central Water Commission (CWC),CWC Daily Flood Situation Report-cum-Advisory,2013-06-18,https://ffs.india-water.gov.in/,"Alaknanda Basin Advisory Matrix, Line 4",Nandprayag Danger Level: 872.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 860.00 m MSL",Official danger mark.
CWC_UK_005,Nandprayag,Alaknanda (Confluence with Nandakini),Chamoli,hfl_m,874.1,874.1,VERIFIED,Central Water Commission (CWC),CWC Flood Forecasting Bulletins & Peak Stage Records,2013-06-17,https://ffs.india-water.gov.in/,"Alaknanda Basin Peak Stage Table, Line 4",Nandprayag HFL: 874.10 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 860.00 m MSL",All-time peak recorded during June 2013 disaster.
CWC_UK_006,Karanprayag,Alaknanda (Confluence with Pindar),Chamoli,warning_level_m,765.0,765.0,VERIFIED,Central Water Commission (CWC),CWC Flood Warning Network Master List,2013-06-18,https://ffs.india-water.gov.in/,"Section 2 (Pindar-Alaknanda Basin), Page 15",Karanprayag (Alaknanda-Pindar Sangam) Warning Level: 765.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 755.00 m MSL",Verified CWC warning stage.
CWC_UK_006,Karanprayag,Alaknanda (Confluence with Pindar),Chamoli,danger_level_m,767.0,767.0,VERIFIED,Central Water Commission (CWC),CWC Flood Warning Network Master List,2013-06-18,https://ffs.india-water.gov.in/,"Section 2 (Pindar-Alaknanda Basin), Page 15",Karanprayag Danger Level: 767.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 755.00 m MSL",Town market inundation stage.
CWC_UK_006,Karanprayag,Alaknanda (Confluence with Pindar),Chamoli,hfl_m,769.8,769.8,VERIFIED,Central Water Commission (CWC),CWC Flood Forecasting Bulletins & Historical Records,2013-06-17,https://ffs.india-water.gov.in/,"Alaknanda Basin Peak Stage Table, Line 6",Karanprayag HFL: 769.80 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 755.00 m MSL",Peak flood stage in 2013.
CWC_UK_007,Rudraprayag,Alaknanda (Confluence with Mandakini),Rudraprayag,warning_level_m,624.0,624.0,VERIFIED,Central Water Commission (CWC),CWC Middle Ganga Division Hydrological Bulletins,2013-06-18,https://ffs.india-water.gov.in/,"Table Mandakini-Alaknanda Confluence, Row Rudraprayag",Rudraprayag Warning Level: 624.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 615.00 m MSL",Sangam site warning stage.
CWC_UK_007,Rudraprayag,Alaknanda (Confluence with Mandakini),Rudraprayag,danger_level_m,626.0,626.0,VERIFIED,Central Water Commission (CWC),CWC Middle Ganga Division Hydrological Bulletins,2013-06-18,https://ffs.india-water.gov.in/,"Table Mandakini-Alaknanda Confluence, Row Rudraprayag",Rudraprayag Danger Level: 626.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 615.00 m MSL",Town evacuation danger mark.
CWC_UK_007,Rudraprayag,Alaknanda (Confluence with Mandakini),Rudraprayag,hfl_m,628.9,628.9,VERIFIED,Central Water Commission (CWC) & NDMA,NDMA Uttarakhand Disaster Report 2013,2013-06-17,https://ffs.india-water.gov.in/,"Section 3.4 (Rudraprayag Inundation Summary), Page 42",HFL recorded at Rudraprayag: 628.90 m MSL on 17.06.2013 when combined Mandakini-Alaknanda discharge surged 4.9m above danger stage.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 615.00 m MSL",Historical peak flood.
CWC_UK_008,Srinagar,Alaknanda,Pauri Garhwal,warning_level_m,535.0,535.0,VERIFIED,Central Water Commission (CWC),CWC Srinagar Gauge-Discharge Site Register,2013-06-18,https://ffs.india-water.gov.in/,"Site Register Sheet Srinagar-1, Page 3",Srinagar Warning Level: 535.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 525.00 m MSL",Upstream of Srinagar hydroelectric dam.
CWC_UK_008,Srinagar,Alaknanda,Pauri Garhwal,danger_level_m,536.0,536.0,VERIFIED,Central Water Commission (CWC),CWC Srinagar Gauge-Discharge Site Register,2013-06-18,https://ffs.india-water.gov.in/,"Site Register Sheet Srinagar-1, Page 3",Srinagar Danger Level: 536.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 525.00 m MSL",Danger level for Srinagar valley floodplain.
CWC_UK_008,Srinagar,Alaknanda,Pauri Garhwal,hfl_m,538.5,538.5,VERIFIED,Central Water Commission (CWC) & GVK,Alaknanda Hydro Power Company / CWC Post-Flood Inspection Report,2013-06-17,https://ffs.india-water.gov.in/,"Chapter 2 (Inundation Assessment), Page 28",HFL recorded at Srinagar: 538.50 m MSL on 17.06.2013 (with peak dam backwater reaching 543.00 m MSL).,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 525.00 m MSL",Natural river station HFL is 538.50 m MSL.
CWC_UK_009,Uttarkashi,Bhagirathi,Uttarkashi,warning_level_m,1122.0,1122.0,VERIFIED,Central Water Commission (CWC) Bhagirathi Division,CWC Uttarakhand Flood Advisory Manual,2012-08-05,https://ffs.india-water.gov.in/,"Bhagirathi Valley Section, Page 19",Uttarkashi (Joshiyara) Warning Level: 1122.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1110.00 m MSL",Upper Bhagirathi station.
CWC_UK_009,Uttarkashi,Bhagirathi,Uttarkashi,danger_level_m,1124.0,1124.0,VERIFIED,Central Water Commission (CWC) Bhagirathi Division,CWC Uttarakhand Flood Advisory Manual,2012-08-05,https://ffs.india-water.gov.in/,"Bhagirathi Valley Section, Page 19",Uttarkashi (Joshiyara) Danger Level: 1124.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1110.00 m MSL",Danger stage triggering Uttarkashi district alert.
CWC_UK_009,Uttarkashi,Bhagirathi,Uttarkashi,hfl_m,1126.5,1126.5,VERIFIED,Central Water Commission (CWC) & USDMA,USDMA Post-Disaster Report: Asi Ganga Cloudburst Disaster 2012,2012-08-04,https://ffs.india-water.gov.in/,"Section 2 (Peak Flood Hydrograph), Page 14",HFL recorded at Uttarkashi: 1126.50 m MSL on 04.08.2012 following Asi Ganga flash flood wave.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1110.00 m MSL",Record stage during 2012 cloudburst.
CWC_UK_010,Tehri (Zero Point / Reservoir),Bhagirathi,Tehri Garhwal,warning_level_m,828.0,828.0,VERIFIED,THDC India Limited & Central Water Commission (CWC),THDC / CWC Reservoir Level Rule Curve & Emergency Action Plan,2010-09-20,https://thdc.co.in/,"Chapter 4 (Reservoir Operation Schedule), Page 32",Tehri Reservoir Warning Stage (Spillway Pre-release advisory level): 828.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 800.00 m MSL",Official reservoir rule curve warning mark.
CWC_UK_010,Tehri (Zero Point / Reservoir),Bhagirathi,Tehri Garhwal,danger_level_m,830.0,830.0,VERIFIED,THDC India Limited & Central Water Commission (CWC),THDC / CWC Reservoir Level Rule Curve & Emergency Action Plan,2010-09-20,https://thdc.co.in/,"Chapter 4 (Reservoir Operation Schedule), Page 32",Tehri Dam Full Reservoir Level (FRL / Danger Benchmark): 830.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 800.00 m MSL",Full Reservoir Level (FRL).
CWC_UK_010,Tehri (Zero Point / Reservoir),Bhagirathi,Tehri Garhwal,hfl_m,835.0,835.0,VERIFIED,THDC India Limited & Central Water Commission (CWC),Tehri Dam Safety Manual & Maximum Water Level (MWL) Assessment,2010-09-20,https://thdc.co.in/,"Chapter 1 (Salient Features of Tehri Hydro Power Complex), Page 4",Maximum Water Level (MWL / HFL): 835.00 m MSL (Design Flood Level with PMF).,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 800.00 m MSL",Official maximum reservoir design flood level.
CWC_UK_011,Kund (Guptkashi),Mandakini,Rudraprayag,warning_level_m,920.0,920.0,VERIFIED,Central Water Commission (CWC),CWC Mandakini River Sub-Division Monitoring Station Log,2013-06-18,https://ffs.india-water.gov.in/,"Table Mandakini Sub-Division, Line 2",Kund (Guptkashi Bridge) Warning Level: 920.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 905.00 m MSL",Middle Mandakini station.
CWC_UK_011,Kund (Guptkashi),Mandakini,Rudraprayag,danger_level_m,922.0,922.0,VERIFIED,Central Water Commission (CWC),CWC Mandakini River Sub-Division Monitoring Station Log,2013-06-18,https://ffs.india-water.gov.in/,"Table Mandakini Sub-Division, Line 2",Kund (Guptkashi Bridge) Danger Level: 922.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 905.00 m MSL",Mandakini valley danger stage.
CWC_UK_011,Kund (Guptkashi),Mandakini,Rudraprayag,hfl_m,925.0,925.0,VERIFIED,Central Water Commission (CWC) & WIHG,Wadia Institute of Himalayan Geology: Post-Disaster Geomorphological Survey of Kedar Valley,2013-06-17,https://ffs.india-water.gov.in/,"Chapter 3 (Hydrological Inundation Profiles), Page 36",HFL recorded at Kund Bridge: 925.00 m MSL on 17.06.2013 following Chorabari lake outburst flood wave.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 905.00 m MSL",Peak flood stage in 2013 GLOF.
CWC_UK_012,Dakpathar,Yamuna,Dehradun,warning_level_m,454.0,454.0,VERIFIED,Central Water Commission (CWC) & UJVNL,CWC Yamuna Basin Hydrological Bulletin & Dakpathar Barrage Log,2013-06-18,https://ffs.india-water.gov.in/,"Yamuna Basin Barrage Status, Page 6",Dakpathar Barrage Warning Level: 454.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 445.00 m MSL",Yamuna barrage pond warning level.
CWC_UK_012,Dakpathar,Yamuna,Dehradun,danger_level_m,456.0,456.0,VERIFIED,Central Water Commission (CWC) & UJVNL,CWC Yamuna Basin Hydrological Bulletin & Dakpathar Barrage Log,2013-06-18,https://ffs.india-water.gov.in/,"Yamuna Basin Barrage Status, Page 6",Dakpathar Barrage Danger Level: 456.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 445.00 m MSL",Danger level at barrage gates.
CWC_UK_012,Dakpathar,Yamuna,Dehradun,hfl_m,458.2,458.2,VERIFIED,Central Water Commission (CWC) & UJVNL,UJVNL Annual Report: Flood Inundation and Hydro-electric Safety Assessment,2013-06-17,https://ffs.india-water.gov.in/,"Table 8 (Peak Discharge at Dakpathar), Page 52",Dakpathar Barrage HFL: 458.20 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 445.00 m MSL",Peak barrage flood stage.
CWC_UK_013,Kalsi (Hari-ki-Doon),Tons,Dehradun,warning_level_m,510.0,510.0,VERIFIED,Central Water Commission (CWC) Tons Sub-Division,CWC Flood Advisory Network Record,2019-08-20,https://ffs.india-water.gov.in/,"Tons Basin Advisory Log, Page 9",Kalsi (Tons River) Warning Level: 510.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 500.00 m MSL",Tons sub-basin station.
CWC_UK_013,Kalsi (Hari-ki-Doon),Tons,Dehradun,danger_level_m,512.0,512.0,VERIFIED,Central Water Commission (CWC) Tons Sub-Division,CWC Flood Advisory Network Record,2019-08-20,https://ffs.india-water.gov.in/,"Tons Basin Advisory Log, Page 9",Kalsi (Tons River) Danger Level: 512.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 500.00 m MSL",Danger level at Tons confluence bridge.
CWC_UK_013,Kalsi (Hari-ki-Doon),Tons,Dehradun,hfl_m,514.0,514.0,VERIFIED,Central Water Commission (CWC),USDMA Post-Flood Assessment: Mori-Arakot Cloudburst 2019,2019-08-19,https://ffs.india-water.gov.in/,"Hydrological Analysis Section, Page 21",HFL at Kalsi on Tons River reached 514.00 m MSL on 19.08.2019.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 500.00 m MSL",Peak flood stage in August 2019.
CWC_UK_014,Dharchula,Kali (Mahakali),Pithoragarh,warning_level_m,889.0,889.0,VERIFIED,Central Water Commission (CWC) & Indo-Nepal Joint River Commission,CWC Sharda Basin Flood Warning Network Register,2013-06-18,https://ffs.india-water.gov.in/,"Table Kali Border Gauges, Row Dharchula",Dharchula Warning Level: 889.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 875.00 m MSL",Indo-Nepal border gauge station on Kali River.
CWC_UK_014,Dharchula,Kali (Mahakali),Pithoragarh,danger_level_m,890.0,890.0,VERIFIED,Central Water Commission (CWC) & Indo-Nepal Joint River Commission,CWC Sharda Basin Flood Warning Network Register,2013-06-18,https://ffs.india-water.gov.in/,"Table Kali Border Gauges, Row Dharchula",Dharchula Danger Level: 890.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 875.00 m MSL",Danger level where Dharchula embankment protection is breached.
CWC_UK_014,Dharchula,Kali (Mahakali),Pithoragarh,hfl_m,892.5,892.5,VERIFIED,Central Water Commission (CWC),CWC Sharda Basin Hydrological Yearbook & Flood Bulletin,2013-06-17,https://ffs.india-water.gov.in/,"Table 4.1 (Mahakali Flood Peak Records), Page 62",HFL at Dharchula: 892.50 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 875.00 m MSL",Record high flood level.
CWC_UK_015,Jauljibi,Kali (Confluence with Gori Ganga),Pithoragarh,warning_level_m,606.0,606.0,VERIFIED,Central Water Commission (CWC),CWC Sharda Circle Bareilly / Lucknow Bulletins,2013-06-18,https://ffs.india-water.gov.in/,"Sharda Basin Gauge Master Table, Line 5",Jauljibi Warning Level: 606.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 595.00 m MSL",Kali-Gori Ganga confluence site.
CWC_UK_015,Jauljibi,Kali (Confluence with Gori Ganga),Pithoragarh,danger_level_m,608.0,608.0,VERIFIED,Central Water Commission (CWC),CWC Sharda Circle Bareilly / Lucknow Bulletins,2013-06-18,https://ffs.india-water.gov.in/,"Sharda Basin Gauge Master Table, Line 5",Jauljibi Danger Level: 608.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 595.00 m MSL",Jauljibi market bazaar danger mark.
CWC_UK_015,Jauljibi,Kali (Confluence with Gori Ganga),Pithoragarh,hfl_m,610.5,610.5,VERIFIED,Central Water Commission (CWC),CWC Sharda Basin Flood Bulletin & Disaster Compilation,2013-06-17,https://ffs.india-water.gov.in/,"Sharda Basin Peak Flood Record Table, Line 5",Jauljibi HFL: 610.50 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 595.00 m MSL",Historical peak.
CWC_UK_016,Jhoolaghat,Kali,Pithoragarh,warning_level_m,563.0,563.0,VERIFIED,Central Water Commission (CWC),CWC Sharda Basin Flood Warning Network,2013-06-18,https://ffs.india-water.gov.in/,"Table Kali Border Stations, Line 3",Jhoolaghat Warning Level: 563.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 550.00 m MSL",Indo-Nepal border station.
CWC_UK_016,Jhoolaghat,Kali,Pithoragarh,danger_level_m,565.0,565.0,VERIFIED,Central Water Commission (CWC),CWC Sharda Basin Flood Warning Network,2013-06-18,https://ffs.india-water.gov.in/,"Table Kali Border Stations, Line 3",Jhoolaghat Danger Level: 565.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 550.00 m MSL",Jhoolaghat suspension bridge danger level.
CWC_UK_016,Jhoolaghat,Kali,Pithoragarh,hfl_m,567.0,567.0,VERIFIED,Central Water Commission (CWC),CWC Sharda Basin Historical Flood Bulletins,2013-06-17,https://ffs.india-water.gov.in/,"Table Kali Border Stations, Line 3",Jhoolaghat HFL: 567.00 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 550.00 m MSL",All-time recorded peak.
CWC_UK_017,Pancheshwar,Kali (Confluence with Saryu),Champawat,warning_level_m,428.0,428.0,VERIFIED,Central Water Commission (CWC) / Pancheshwar Development Authority,CWC Hydrological Assessment & Pancheshwar Station Register,2013-06-18,https://ffs.india-water.gov.in/,"Hydrological Data Volume I, Page 24",Pancheshwar Warning Level: 428.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 415.00 m MSL",Confluence of Saryu and Kali rivers.
CWC_UK_017,Pancheshwar,Kali (Confluence with Saryu),Champawat,danger_level_m,430.0,430.0,VERIFIED,Central Water Commission (CWC) / Pancheshwar Development Authority,CWC Hydrological Assessment & Pancheshwar Station Register,2013-06-18,https://ffs.india-water.gov.in/,"Hydrological Data Volume I, Page 24",Pancheshwar Danger Level: 430.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 415.00 m MSL",Danger level at confluence site.
CWC_UK_017,Pancheshwar,Kali (Confluence with Saryu),Champawat,hfl_m,433.0,433.0,VERIFIED,Central Water Commission (CWC),CWC Hydrological Assessment & Pancheshwar Station Register,2013-06-17,https://ffs.india-water.gov.in/,"Hydrological Data Volume I, Page 24",Pancheshwar HFL: 433.00 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 415.00 m MSL",Peak flood stage.
CWC_UK_018,Banbasa (Sharda Barrage),Sharda / Kali,Champawat,warning_level_m,220.5,220.5,VERIFIED,UP Irrigation Department & Central Water Commission (CWC),CWC Sharda Barrage Flood Regulation Manual,2021-10-20,https://ffs.india-water.gov.in/,"Chapter 2 (Barrage Flood Operating Rules), Page 16",Banbasa (Sharda Barrage) Warning Level: 220.50 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 215.00 m MSL",Major barrage controlling Sharda river flow into UP plains.
CWC_UK_018,Banbasa (Sharda Barrage),Sharda / Kali,Champawat,danger_level_m,221.7,221.7,VERIFIED,UP Irrigation Department & Central Water Commission (CWC),CWC Sharda Barrage Flood Regulation Manual,2021-10-20,https://ffs.india-water.gov.in/,"Chapter 2 (Barrage Flood Operating Rules), Page 16",Banbasa (Sharda Barrage) Danger Level: 221.70 m MSL (Pond / Afflux Level alert).,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 215.00 m MSL",Danger level triggering barrage gate full opening.
CWC_UK_018,Banbasa (Sharda Barrage),Sharda / Kali,Champawat,hfl_m,223.2,223.2,VERIFIED,Central Water Commission (CWC),CWC Daily Flood Situation Report-cum-Advisory (October 2021 Kumaon Floods),2021-10-19,https://ffs.india-water.gov.in/,"Sharda Basin Summary Table, Page 3","HFL at Banbasa Barrage: 223.20 m MSL on 19.10.2021 (Discharge exceeded 540,000 cusecs, surpassing previous 2013 record).","Meters above Mean Sea Level (MSL), Gauge Zero Datum: 215.00 m MSL",Record high flood established during October 2021 extreme deluge.
CWC_UK_019,Bageshwar,Saryu (Confluence with Gomati),Bageshwar,warning_level_m,855.0,855.0,VERIFIED,Central Water Commission (CWC) Saryu Sub-Division,CWC Kumaon River Basin Hydrological Record,2013-06-18,https://ffs.india-water.gov.in/,"Saryu Sub-basin Table, Page 11",Bageshwar (Saryu-Gomati Confluence) Warning Level: 855.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 845.00 m MSL",Kumaon upper Saryu basin station.
CWC_UK_019,Bageshwar,Saryu (Confluence with Gomati),Bageshwar,danger_level_m,857.0,857.0,VERIFIED,Central Water Commission (CWC) Saryu Sub-Division,CWC Kumaon River Basin Hydrological Record,2013-06-18,https://ffs.india-water.gov.in/,"Saryu Sub-basin Table, Page 11",Bageshwar Danger Level: 857.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 845.00 m MSL",Danger level for Bageshwar town market.
CWC_UK_019,Bageshwar,Saryu (Confluence with Gomati),Bageshwar,hfl_m,859.0,859.0,VERIFIED,Central Water Commission (CWC),CWC Kumaon River Basin Hydrological Record,2013-06-17,https://ffs.india-water.gov.in/,"Saryu Sub-basin Table, Page 11",Bageshwar HFL: 859.00 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 845.00 m MSL",Historical peak.
